id,title,product_id,engagement_id,severity_num,cvss_score,age_days,has_cve,has_cwe,tags_count,is_false_positive,is_active,severity_x_active,product_fp_rate,cvss_severity_gap,composite_risk,days_to_fix,fixed_in_30d
102,Path-Traversal,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
103,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
104,XSS-Reflected-Basic,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
105,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
106,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
107,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
108,XSS-Reflected-Basic,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
109,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
110,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
111,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
112,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
113,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
114,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
115,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
116,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
117,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
118,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
119,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
120,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
121,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
122,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
123,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
124,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
125,SQL-Injection-Template,4,2,3,0.0,5,0,1,0,0,0,0,0.0031,3.0,0.9066666666666666,0,1
126,No-Console-Log,4,2,2,0.0,5,0,1,0,0,0,0,0.0031,2.0,0.6066666666666667,0,1
